(-0.06, 0.07, 0.97)
(-0.05, 0.06, 0.97)
(0.11, 0.28, 0.92)
(0.11, 0.28, 0.92)
(0.10, 0.28, 0.92)
(0.10, 0.28, 0.92)
(0.10, 0.29, 0.92)
(0.11, 0.28, 0.92)
(0.10, 0.28, 0.92)
(0.12, 0.28, 0.92)
(0.11, 0.29, 0.92)
(0.12, 0.28, 0.92)
(0.11, 0.29, 0.92)
(0.11, 0.29, 0.92)
(0.12, 0.28, 0.92)
(0.12, 0.29, 0.92)
(0.13, 0.28, 0.92)
(0.10, 0.29, 0.92)
(0.08, 0.28, 0.92)
(0.00, 0.26, 0.94)
(-0.04, 0.26, 0.94)
(-0.06, 0.26, 0.94)
(-0.05, 0.27, 0.94)
(-0.04, 0.26, 0.94)
(-0.04, 0.26, 0.94)
(-0.03, 0.26, 0.94)
(-0.02, 0.27, 0.93)
(-0.02, 0.26, 0.94)
(-0.01, 0.26, 0.94)
(0.00, 0.26, 0.94)
(0.00, 0.26, 0.94)
(0.04, 0.25, 0.94)
(0.04, 0.25, 0.94)
(0.04, 0.25, 0.94)
(0.04, 0.26, 0.93)
(0.05, 0.27, 0.93)
(0.06, 0.27, 0.93)
(0.06, 0.26, 0.93)
(0.06, 0.26, 0.93)
(0.07, 0.27, 0.93)
(0.07, 0.29, 0.92)
(0.08, 0.27, 0.93)
(0.08, 0.28, 0.93)
(0.08, 0.27, 0.93)
(0.09, 0.26, 0.93)
(0.08, 0.26, 0.93)
(0.09, 0.27, 0.93)
(0.08, 0.25, 0.93)
(0.08, 0.25, 0.93)
(0.08, 0.26, 0.93)
(0.08, 0.25, 0.93)
(0.08, 0.25, 0.93)
(0.08, 0.23, 0.94)
(0.06, 0.23, 0.94)
(0.06, 0.22, 0.94)
(0.06, 0.22, 0.94)
(0.05, 0.22, 0.94)
(0.04, 0.22, 0.94)
(0.02, 0.21, 0.95)
(0.09, 0.23, 0.94)
(0.14, 0.25, 0.92)
(0.18, 0.28, 0.91)
(0.21, 0.32, 0.89)
(0.24, 0.35, 0.87)
(0.25, 0.34, 0.87)
(0.32, 0.35, 0.84)
(0.34, 0.31, 0.84)
(0.36, 0.31, 0.83)
(0.35, 0.32, 0.84)
(0.35, 0.32, 0.84)
(0.31, 0.29, 0.86)
(0.30, 0.30, 0.86)
(0.28, 0.30, 0.87)
(0.26, 0.29, 0.88)
(0.25, 0.26, 0.89)
(0.22, 0.30, 0.89)
(0.21, 0.29, 0.89)
(0.20, 0.30, 0.90)
