(-0.12, 0.10, 0.96)
(-0.11, 0.12, 0.96)
(0.09, 0.41, 0.88)
(0.06, 0.40, 0.89)
(0.05, 0.40, 0.89)
(0.05, 0.41, 0.88)
(0.05, 0.40, 0.89)
(0.05, 0.41, 0.88)
(0.05, 0.40, 0.89)
(0.06, 0.40, 0.89)
(0.06, 0.39, 0.89)
(0.06, 0.39, 0.89)
(0.07, 0.39, 0.89)
(0.06, 0.40, 0.89)
(0.06, 0.39, 0.89)
(0.08, 0.39, 0.89)
(0.08, 0.39, 0.89)
(0.06, 0.39, 0.89)
(0.02, 0.37, 0.90)
(-0.06, 0.36, 0.90)
(-0.10, 0.35, 0.90)
(-0.13, 0.34, 0.90)
(-0.11, 0.35, 0.90)
(-0.10, 0.34, 0.90)
(-0.10, 0.34, 0.90)
(-0.07, 0.35, 0.90)
(-0.07, 0.35, 0.91)
(-0.06, 0.36, 0.90)
(-0.05, 0.35, 0.91)
(-0.06, 0.35, 0.90)
(-0.05, 0.36, 0.90)
(-0.02, 0.37, 0.90)
(-0.02, 0.37, 0.90)
(-0.01, 0.37, 0.90)
(-0.01, 0.37, 0.90)
(0.01, 0.37, 0.90)
(0.01, 0.37, 0.90)
(0.02, 0.37, 0.90)
(0.03, 0.37, 0.90)
(0.03, 0.37, 0.90)
(0.04, 0.36, 0.91)
(0.04, 0.37, 0.90)
(0.05, 0.36, 0.90)
(0.04, 0.37, 0.90)
(0.03, 0.36, 0.91)
(0.03, 0.35, 0.91)
(0.03, 0.35, 0.91)
(0.04, 0.35, 0.91)
(0.04, 0.35, 0.91)
(0.04, 0.35, 0.91)
(0.03, 0.33, 0.92)
(0.03, 0.34, 0.91)
(0.02, 0.33, 0.92)
(0.01, 0.33, 0.92)
(0.01, 0.33, 0.92)
(0.00, 0.32, 0.92)
(0.00, 0.31, 0.92)
(0.00, 0.31, 0.92)
(-0.01, 0.31, 0.92)
(0.01, 0.36, 0.90)
(0.05, 0.38, 0.90)
(0.11, 0.37, 0.90)
(0.15, 0.40, 0.88)
(0.18, 0.43, 0.86)
(0.22, 0.43, 0.85)
(0.23, 0.44, 0.85)
(0.28, 0.45, 0.83)
(0.35, 0.45, 0.80)
(0.36, 0.44, 0.81)
(0.33, 0.42, 0.83)
(0.25, 0.41, 0.85)
(0.25, 0.41, 0.85)
(0.24, 0.40, 0.86)
(0.23, 0.41, 0.86)
(0.22, 0.39, 0.87)
(0.20, 0.40, 0.87)
(0.18, 0.40, 0.87)
(0.17, 0.39, 0.88)
(0.15, 0.39, 0.88)
(0.13, 0.39, 0.89)
(0.11, 0.39, 0.89)
(0.11, 0.39, 0.89)
(0.09, 0.40, 0.89)
(0.08, 0.39, 0.89)
(0.08, 0.40, 0.89)
(0.10, 0.43, 0.87)
(0.15, 0.45, 0.86)
(0.17, 0.51, 0.82)
(0.16, 0.52, 0.82)
(0.17, 0.53, 0.81)
(0.16, 0.55, 0.79)
(0.17, 0.55, 0.80)
(0.17, 0.53, 0.81)
(0.16, 0.53, 0.81)
(0.16, 0.52, 0.81)
(0.13, 0.51, 0.83)
(0.13, 0.52, 0.82)
(0.14, 0.52, 0.82)
(0.13, 0.52, 0.82)
(0.13, 0.50, 0.83)
(0.14, 0.50, 0.83)
(0.13, 0.50, 0.83)
(0.11, 0.50, 0.84)
(0.09, 0.53, 0.82)
(0.07, 0.55, 0.81)
(0.05, 0.60, 0.77)
(0.03, 0.62, 0.76)
(0.03, 0.00, -0.03)
(0.03, 0.00, -0.03)
(0.03, 0.00, -0.03)
(0.03, 0.00, -0.03)
(0.03, 0.00, -0.03)
(0.03, 0.00, -0.03)
(0.03, 0.00, -0.03)
(0.03, 0.00, -0.03)
(0.03, 0.00, -0.03)
(0.03, 0.00, -0.03)
(0.03, 0.00, -0.03)
(0.03, 0.00, -0.03)
(0.03, 0.00, -0.03)
(0.03, 0.00, -0.03)
(0.03, 0.00, -0.03)
(0.03, 0.00, -0.03)
(0.03, 0.00, -0.03)
(0.03, 0.00, -0.03)
(0.03, 0.00, -0.03)
(0.03, 0.00, -0.03)
(-0.03, 0.60, 0.77)
(-0.02, 0.60, 0.77)
(-0.03, 0.60, 0.77)
(-0.03, 0.59, 0.78)
(-0.02, 0.60, 0.77)
(0.03, 0.00, -0.03)
(0.03, 0.00, -0.03)
(0.03, 0.00, -0.03)
(0.03, 0.00, -0.03)
(0.03, 0.00, -0.03)
(0.03, 0.00, -0.03)
(0.03, 0.00, -0.03)
(0.03, 0.00, -0.03)
(0.03, 0.00, -0.03)
(0.03, 0.00, -0.03)
(0.03, 0.00, -0.03)
(0.03, 0.00, -0.03)
(0.03, 0.00, -0.03)
(0.03, 0.00, -0.03)
(-0.13, 0.62, 0.74)
(0.03, 0.00, -0.03)
(-0.11, 0.61, 0.75)
(-0.11, 0.61, 0.75)
(-0.12, 0.59, 0.77)
(-0.11, 0.60, 0.76)
(-0.11, 0.59, 0.76)
(-0.13, 0.60, 0.75)
(-0.13, 0.61, 0.74)
(-0.13, 0.60, 0.75)
(-0.14, 0.61, 0.75)
(-0.13, 0.61, 0.74)
(-0.13, 0.61, 0.75)
(-0.13, 0.60, 0.75)
(-0.13, 0.58, 0.77)
(-0.13, 0.58, 0.77)
(-0.12, 0.57, 0.78)
(-0.12, 0.57, 0.78)
(-0.12, 0.57, 0.78)
(-0.13, 0.57, 0.78)
(-0.13, 0.62, 0.74)
(-0.13, 0.60, 0.75)
(-0.12, 0.62, 0.74)
(0.03, 0.00, -0.03)
(0.03, 0.00, -0.03)
(0.03, 0.00, -0.03)
(0.03, 0.00, -0.03)
(0.03, 0.00, -0.03)
(0.03, 0.00, -0.03)
(-0.12, 0.61, 0.75)
(-0.12, 0.61, 0.75)
(-0.12, 0.60, 0.76)
(-0.12, 0.60, 0.76)
(-0.12, 0.60, 0.76)
(-0.12, 0.60, 0.76)
(-0.12, 0.60, 0.76)
(-0.13, 0.60, 0.76)
(0.03, 0.00, -0.03)
(0.03, 0.00, -0.03)
(0.03, 0.00, -0.03)
(0.03, 0.00, -0.03)
(0.03, 0.00, -0.03)
(0.03, 0.00, -0.03)
(0.03, 0.00, -0.03)
(0.03, 0.00, -0.03)
(0.03, 0.00, -0.03)
(0.03, 0.00, -0.03)
(0.03, 0.00, -0.03)
(0.03, 0.00, -0.03)
(0.03, 0.00, -0.03)
(0.03, 0.00, -0.03)
(0.03, 0.00, -0.03)
(0.03, 0.00, -0.03)
(0.03, 0.00, -0.03)
(-0.10, 0.62, 0.75)
(-0.09, 0.61, 0.76)
(-0.08, 0.60, 0.76)
(-0.09, 0.62, 0.75)
(-0.09, 0.63, 0.74)
